DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000060209010001|51|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060209020001|95|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060222002001|236|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060222005001|88|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060222010001|74|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060222020001|38|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060295002001|128|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060295005001|76|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060295010001|37|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060295020001|92|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060297002001|223|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060297005001|197|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060297010001|91|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060297020001|51|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060302020001|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060306002001|384|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060306005001|100|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060306010001|39|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060306020001|18|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060325002001|178|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060325005001|96|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060325010001|52|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060325020001|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060330002001|100|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060330005001|196|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060330010001|52|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060330020001|16|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060356005001|108|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060356010001|38|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060356020001|24|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060407002001|197|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060407005001|70|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060407010001|28|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060407020001|46|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060411002001|132|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060411005001|160|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060411010001|120|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060411020001|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060455002001|88|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060455005001|93|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060455020001|46|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060712002001|64|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060712005001|92|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060712010001|81|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060712020001|70|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060751002001|140|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060751005001|12|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060751010001|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060D68002001|77|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060D68005001|72|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060D68010001|59|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060D68020001|28|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0000T0991000090|698|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0000T0991000300|676|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0000Y0991000900|20|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0000Y0991003600|20|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0000Y0991020000|11|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000120991001001|688|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000120991005001|551|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000120991010001|170|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000120991020001|205|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000150991001000|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000150991004000|4|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000160471001000|65|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000160471004000|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000170991000900|5|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000170991003600|16|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190000005002|475|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190000025001|131|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190016005002|133|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190016025001|10|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190184005002|100|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190200025001|50|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190209025001|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190224005002|95|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190224025001|39|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190238005002|203|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190238025001|121|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190303005002|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190306005002|161|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190306025001|39|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190319005002|70|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190319025001|59|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190320005002|190|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190320025001|114|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190410005002|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190410025001|29|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190412005002|150|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190412025001|27|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190427025001|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190432025001|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190473025001|215|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190604005002|45|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190753005002|50|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190753025001|22|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000190N43005002|9|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230166001000|162|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230166004000|68|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230426004000|40|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230533004000|15|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230533020000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230772001000|115|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000230772004000|28|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000280426001000|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000280426004000|16|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000280533001000|107|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000280533004000|24|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000280772001000|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002E0991000500|212|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002L0991000500|144|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002L0991001000|30|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002N0001005001|61|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002N007F000101|59|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002N007F000501|77|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002N0991026001|32|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002N0CC9000101|59|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002N0CC9000501|78|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002T0991001000|80|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0002T0991020000|17|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000340991005001|40|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000340991020009|38|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000350991002001|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000350991005001|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000350991010001|63|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000350991020009|49|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000390991003600|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0003O0991000500|200|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000400991000900|36|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000410991000900|252|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000410991003600|112|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000420991009000|25|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000420991020000|10|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000450991003600|136|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000460991009000|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000470991000900|551|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000470991003600|36|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000470991009000|54|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000470991020000|76|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0004H0991001000|120|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0004N0991020000|4|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000580991003600|119|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0005U0991210001|5|31/03/2021|SYSTEM|31/03/2021|Y|
002|F0005V00H1001000|20|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000620984018650|227|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000620985002001|274|31/03/2021|SYSTEM|31/03/2021|Y|
